image_id,question,answers
90,这架飞机可以容纳多少乘客？,"['15', '15', '15', '15', '10', '10', '18', '18', '8', '8']"
90,How many passengers can this plane accomodate?,"['15', '15', '15', '15', '10', '10', '18', '18', '8', '8']"
91,是什么把那个人从椅子上撞下来的？,"['波', '波', '波浪', '波', '波浪', '波浪', '水', '水', '水', '水']"
91,What knocked the guy off his chair?,"['wave', 'wave', 'wave', 'wave', 'wave', 'wave', 'water', 'water', 'water', 'water']"
92,这辆卡车上的标志有什么用途？,"['身份识别', '识别', '身份证明', '身份识别', '广告', '广告', '广告', '广告', '赞助', '赞助']"
92,What is the purpose of the logos on this truck?,"['identification', 'identification', 'identification', 'identification', 'advertising', 'advertising', 'advertising', 'advertising', 'sponsorship', 'sponsorship']"
93,这些物品的用途是什么？,"['艺术', '艺术', '艺术', '艺术', '纪念碑', '纪念馆', '装饰', '装饰', '坟墓', '坟墓']"
93,What is the purpose of these objects?,"['art', 'art', 'art', 'art', 'memorial', 'memorial', 'decoration', 'decoration', 'graves', 'graves']"
94,这里发生了什么？,"['睡眠', '睡眠', '睡眠', '睡眠', '睡眠', '睡眠', '睡眠', '睡眠', '休息', '休息']"
94,What happens here?,"['sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'resting', 'resting']"
95,这架飞机是为哪家公司飞行的？,"['一世界', '一个世界', '一个世界', '一个世界', '1世界', '1世界', '1世界', '1世界', '不确定', '不确定']"
95,What company is this plane flying for?,"['oneworld', 'oneworld', 'oneworld', 'oneworld', '1 world', '1 world', '1 world', '1 world', 'not sure', 'not sure']"
96,说出这张图片中展示的窗帘类型？,"['窗帘', '窗帘', '窗帘', '窗帘', '杆式口袋窗帘', '杆式口袋窗帘', '大的', '大的', '蕾丝', '蕾丝']"
96,Name the type of curtains shown in this picture?,"['drapes', 'drapes', 'drapes', 'drapes', 'rod pocket curtains', 'rod pocket curtains', 'big', 'big', 'lace', 'lace']"
97,披萨上的肉来自哪种动物？,"['猪', '猪', '猪', '猪', '猪', '猪', '猪', '猪', '猪', '猪']"
97,What animal does the meat on the pizza come from?,"['pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig']"
98,怎么打开这个？,"['关键', '键', '钥匙', '钥匙', '键', '关键', '点火', '点火', '带有关键字的', '带钥匙']"
98,How do you turn this on?,"['key', 'key', 'key', 'key', 'key', 'key', 'ignition', 'ignition', 'with key', 'with key']"
99,这种动物通常有多高？,"['20英尺', '20英尺', '20英尺', '20英尺', '12英尺', '12英尺', '15英尺', '15英尺', '13英尺', '13英尺']"
99,How tall is this animal usually?,"['20 feet', '20 feet', '20 feet', '20 feet', '12 ft', '12 ft', '15 feet', '15 feet', '13ft', '13ft']"
100,这道菜里有多少番茄酱？,"['2杯', '2杯', '2杯', '2杯', '半杯', '半杯', '1/4杯', '1/4杯', '2罐', '2罐']"
100,How much tomato sauce is in this dish?,"['2 cups', '2 cups', '2 cups', '2 cups', 'half cup', 'half cup', '1 4 cup', '1 4 cup', '2 cans', '2 cans']"
